产品标识,产品描述,基本计量单位,产品类型,位置,位置名称,MRP控制员,MRP控制员姓名,已加删除标记,备注说明(数据库),记录ID,创建时间,更新时间
21124,12414,PCS,,,,,,否,Desc,14,2026-03-20 06:22:11.682847,2026-03-20 06:22:11.682853
MAT001,精密齿轮,PCS,,,,,,否,高精度齿轮组件,1,2026-01-27 12:15:47.737103,2026-01-27 12:15:47.737111
MAT002,电机外壳,PCS,,,,,,否,铝合金电机外壳,2,2026-01-27 12:15:47.737114,2026-01-27 12:15:47.737116
MAT003,传感器模块,PCS,,,,,,否,温度传感器组件,3,2026-01-27 12:15:47.737118,2026-01-27 12:15:47.737119
MAT004,控制板,PCS,,,,,,否,主控制电路板,4,2026-01-27 12:15:47.737121,2026-01-27 12:15:47.737122
MAT005,轴承座,PCS,,,,,,否,精密轴承座,5,2026-01-27 12:15:47.737124,2026-01-27 12:15:47.737125
MAT006,连接器,PCS,,,,,,否,高速数据连接器,6,2026-01-27 12:15:47.737127,2026-01-27 12:15:47.737128
MAT007,散热器,PCS,,,,,,否,铝制散热模组,7,2026-01-27 12:15:47.737130,2026-01-27 12:15:47.737131
MAT008,机箱,PCS,,,,,,否,不锈钢机箱,8,2026-01-27 12:15:47.737133,2026-01-27 12:15:47.737134
MAT009,电源模块,PCS,,,,,,否,开关电源模块,9,2026-01-27 12:15:47.737136,2026-01-27 12:15:47.737137
MAT010,显示面板,PCS,,,,,,否,LCD显示面板组件,10,2026-01-27 12:15:47.737138,2026-01-27 12:15:47.737140
P_100,门板,PCS,,,,,,否,标准门板,11,2026-03-20 01:47:10.064843,2026-03-20 01:47:10.064847
P_IMPORT_1,Import Product,PCS,,,,,,否,from excel,12,2026-03-20 01:47:10.064848,2026-03-20 01:47:10.064849
P_IMPORT_2,Import Product 2,PCS,,,,,,否,from excel2,13,2026-03-20 01:47:49.250049,2026-03-20 01:47:49.250052
