id,code,name,work_center_id,work_center_code,work_center_name,capacity_per_day,efficiency,description,location,operating_start,operating_end,operating_rest_start,operating_rest_end,operating_break,utilization_percent,production_hours,capacity_value,finite_planning,is_bottleneck,timezone,factory_calendar,planning_group,created_at,updated_at
1,M001,CNC机床-1,1,WC001,机加工车间,9.0,1.0,,1001,09:00:00,18:00:00,,,00:00:00,100.0,9.0,,1,0,CET,01,A,2026-03-20 06:31:04.835975,2026-03-23 11:31:22.260702
2,M002,CNC机床-2,1,WC001,机加工车间,8.0,0.95,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.835982,2026-03-23 08:39:28.611163
3,M003,CNC机床-3,1,WC001,机加工车间,8.0,0.98,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.835984,2026-03-23 08:39:39.455673
4,M004,车床-1,1,WC001,机加工车间,8.0,1.0,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.835986,2026-03-23 08:39:36.133821
5,M005,车床-2,1,WC001,机加工车间,8.0,0.95,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.835989,2026-03-23 08:39:44.040543
6,M006,铣床-1,1,WC001,机加工车间,8.0,1.0,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.835990,2026-03-23 08:39:47.902925
7,S001,冲床-1,2,WC002,钣金车间,8.0,1.0,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.835992,2026-03-23 08:39:51.427620
8,S002,折弯机-1,2,WC002,钣金车间,8.0,0.95,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.835994,2026-03-23 08:39:55.012723
9,S003,焊接工位-1,2,WC002,钣金车间,8.0,1.0,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.835996,2026-03-23 08:39:58.647557
10,S004,焊接工位-2,2,WC002,钣金车间,8.0,0.9,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.835998,2026-03-23 08:40:02.673909
11,A001,装配工位-1,3,WC003,装配车间,8.0,1.0,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836000,2026-03-23 08:40:06.095577
12,A002,装配工位-2,3,WC003,装配车间,8.0,1.0,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836002,2026-03-23 08:40:09.432689
13,A003,装配工位-3,3,WC003,装配车间,8.0,0.9,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836004,2026-03-23 08:40:15.001307
14,A004,装配工位-4,3,WC003,装配车间,8.0,0.95,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836006,2026-03-23 08:40:18.623990
15,C001,喷涂线-1,4,WC004,喷涂车间,8.0,1.0,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836007,2026-03-23 08:40:23.060801
16,C002,喷涂线-2,4,WC004,喷涂车间,8.0,0.95,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836009,2026-03-23 08:40:26.731842
17,T001,检测设备-1,5,WC005,检测车间,8.0,1.0,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836011,2026-03-23 08:40:30.185704
18,T002,检测设备-2,5,WC005,检测车间,8.0,1.0,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836013,2026-03-23 08:40:34.447054
19,T003,检测设备-3,5,WC005,检测车间,8.0,0.95,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836014,2026-03-23 08:40:37.767863
20,P001,包装线-1,6,WC006,包装车间,8.0,1.0,,1001,09:00,18:00,12:00,13:00,01:00:00,,,,1,0,,,,2026-03-20 06:31:04.836016,2026-03-24 09:25:14.705462
21,P002,包装线-2,6,WC006,包装车间,8.0,0.95,,1001,,,,,,,,,1,0,,,,2026-03-20 06:31:04.836018,2026-03-23 08:40:43.874046
