分配记录ID,产品编码,产品名称,切换组编码,切换组名称,工作中心编码,工作中心名称,分配创建时间
11,MAT001,精密齿轮,SG-STANDARD,标准件组,,,2026-03-20 09:22:33.242666
2,MAT002,电机外壳,SG-SMALL,小型件组,,,2026-01-27 12:15:50.401049
3,MAT003,传感器模块,SG-STANDARD,标准件组,,,2026-01-27 12:15:50.401052
4,MAT004,控制板,SG-STANDARD,标准件组,,,2026-01-27 12:15:50.401054
5,MAT005,轴承座,SG-STANDARD,标准件组,,,2026-01-27 12:15:50.401056
6,MAT006,连接器,SG-LARGE,大型件组,,,2026-01-27 12:15:50.401059
7,MAT007,散热器,SG-SMALL,小型件组,,,2026-01-27 12:15:50.401061
8,MAT008,机箱,SG-STANDARD,标准件组,,,2026-01-27 12:15:50.401063
9,MAT009,电源模块,SG-STANDARD,标准件组,,,2026-01-27 12:15:50.401065
10,MAT010,显示面板,SG-STANDARD,标准件组,,,2026-01-27 12:15:50.401067
