记录ID,来源切换组编码,来源切换组名称,目标切换组编码,目标切换组名称,切换时间_小时,资源编码,资源名称,工作中心编码,工作中心名称,位置,说明,创建时间,更新时间
9,SG-LARGE,大型件组,SG-METAL,金属件组,0.5,,,,,1001,大型件→金属：调整夹具,2026-01-27 12:15:50.439504,2026-03-23 08:07:53.408141
10,SG-LARGE,大型件组,SG-PLASTIC,塑料件组,1.0,,,,,1001,大型件→塑料：调整和清洁,2026-01-27 12:15:50.439508,2026-03-23 08:07:53.408142
11,SG-LARGE,大型件组,SG-SMALL,小型件组,1.5,,,,,1001,大型件→小型件：更换夹具,2026-01-27 12:15:50.439512,2026-03-23 08:07:53.408144
12,SG-LARGE,大型件组,SG-STANDARD,标准件组,0.3,,,,,1001,大型件→标准件：简单调整,2026-01-27 12:15:50.439516,2026-03-23 08:07:53.408146
2,SG-METAL,金属件组,SG-LARGE,大型件组,0.5,,,,,1001,金属→大型件：调整夹具,2026-01-27 12:15:50.439474,2026-03-23 08:07:53.408126
1,SG-METAL,金属件组,SG-PLASTIC,塑料件组,1.5,,,,,1001,金属→塑料：需要清洁和更换刀具,2026-01-27 12:15:50.439460,2026-03-23 08:07:53.408120
3,SG-METAL,金属件组,SG-SMALL,小型件组,1.0,,,,,1001,金属→小型件：更换夹具和刀具,2026-01-27 12:15:50.439479,2026-03-23 08:07:53.408129
4,SG-METAL,金属件组,SG-STANDARD,标准件组,0.3,,,,,1001,金属→标准件：简单调整,2026-01-27 12:15:50.439484,2026-03-23 08:07:53.408131
6,SG-PLASTIC,塑料件组,SG-LARGE,大型件组,1.0,,,,,1001,塑料→大型件：调整设备,2026-01-27 12:15:50.439492,2026-03-23 08:07:53.408135
5,SG-PLASTIC,塑料件组,SG-METAL,金属件组,2.0,,,,,1001,塑料→金属：彻底清洁和更换刀具,2026-01-27 12:15:50.439488,2026-03-23 08:07:53.408133
7,SG-PLASTIC,塑料件组,SG-SMALL,小型件组,0.5,,,,,1001,塑料→小型件：简单调整,2026-01-27 12:15:50.439496,2026-03-23 08:07:53.408137
8,SG-PLASTIC,塑料件组,SG-STANDARD,标准件组,0.8,,,,,1001,塑料→标准件：清洁和调整,2026-01-27 12:15:50.439500,2026-03-23 08:07:53.408139
15,SG-SMALL,小型件组,SG-LARGE,大型件组,1.5,,,,,1001,小型件→大型件：更换夹具,2026-01-27 12:15:50.439527,2026-03-23 08:07:53.408151
13,SG-SMALL,小型件组,SG-METAL,金属件组,1.0,,,,,1001,小型件→金属：更换刀具和夹具,2026-01-27 12:15:50.439520,2026-03-23 08:07:53.408147
14,SG-SMALL,小型件组,SG-PLASTIC,塑料件组,0.5,,,,,1001,小型件→塑料：简单调整,2026-01-27 12:15:50.439524,2026-03-23 08:07:53.408149
16,SG-SMALL,小型件组,SG-STANDARD,标准件组,0.2,,,,,1001,小型件→标准件：微调,2026-01-27 12:15:50.439531,2026-03-23 08:07:53.408153
19,SG-STANDARD,标准件组,SG-LARGE,大型件组,0.3,,,,,1001,标准件→大型件：简单调整,2026-01-27 12:15:50.439542,2026-03-23 08:07:53.408159
17,SG-STANDARD,标准件组,SG-METAL,金属件组,0.3,,,,,1001,标准件→金属：简单调整,2026-01-27 12:15:50.439535,2026-03-23 08:07:53.408155
18,SG-STANDARD,标准件组,SG-PLASTIC,塑料件组,0.8,,,,,1001,标准件→塑料：清洁和调整,2026-01-27 12:15:50.439539,2026-03-23 08:07:53.408157
20,SG-STANDARD,标准件组,SG-SMALL,小型件组,0.2,,,,,1001,标准件→小型件：微调,2026-01-27 12:15:50.439546,2026-03-23 08:07:53.408161
