记录ID,订单号,订单类型(系统值),订单类型(说明),产品编码,产品名称,数量,交期,最早开工,优先级,状态,确认开始(生产订单),确认结束(生产订单),位置,描述,创建时间,更新时间
5,PLN20260008,planned,计划订单,MAT002,电机外壳,440.0,2026-02-01 23:59:00.000000,,6,created,,,1001,电机外壳计划订单,2026-01-27 12:15:48.360933,2026-03-23 08:07:53.397100
6,PLN20260009,planned,计划订单,MAT007,散热器,190.0,2026-02-01 23:59:00.000000,,5,created,,,1001,散热器计划订单,2026-01-27 12:15:48.390481,2026-03-23 08:07:53.397102
7,PLN20260017,planned,计划订单,MAT006,连接器,200.0,2026-02-01 23:59:00.000000,,3,created,,,1001,连接器计划订单,2026-01-27 12:15:48.428696,2026-03-23 08:07:53.397152
8,PLN20260033,planned,计划订单,MAT008,机箱,260.0,2026-02-01 23:59:00.000000,,9,created,,,1001,机箱计划订单,2026-01-27 12:15:48.470292,2026-03-23 08:07:53.397160
11,PLN20260025,planned,计划订单,MAT006,连接器,440.0,2026-02-04 23:59:00.000000,,5,created,,,1001,连接器计划订单,2026-01-27 12:15:48.594255,2026-03-23 08:07:53.397169
14,PLN20260001,planned,计划订单,MAT006,连接器,70.0,2026-02-05 23:59:00.000000,,10,created,,,1001,连接器计划订单,2026-01-27 12:15:48.710269,2026-03-23 08:07:53.397176
15,PLN20260006,planned,计划订单,MAT002,电机外壳,430.0,2026-02-05 23:59:00.000000,,4,created,,,1001,电机外壳计划订单,2026-01-27 12:15:48.742490,2026-03-23 08:07:53.397178
16,PLN20260023,planned,计划订单,MAT003,传感器模块,220.0,2026-02-05 23:59:00.000000,,2,created,,,1001,传感器模块计划订单,2026-01-27 12:15:48.771783,2026-03-23 08:07:53.397180
17,PLN20260018,planned,计划订单,MAT004,控制板,390.0,2026-02-06 23:59:00.000000,,3,created,,,1001,控制板计划订单,2026-01-27 12:15:48.817711,2026-03-23 08:07:53.397182
23,PLN20260010,planned,计划订单,MAT006,连接器,200.0,2026-02-09 23:59:00.000000,,4,created,,,1001,连接器计划订单,2026-01-27 12:15:49.062205,2026-03-23 08:07:53.397248
24,PLN20260013,planned,计划订单,MAT002,电机外壳,400.0,2026-02-09 23:59:00.000000,,1,created,,,1001,电机外壳计划订单,2026-01-27 12:15:49.107403,2026-03-23 08:07:53.397250
25,PLN20260030,planned,计划订单,MAT004,控制板,120.0,2026-02-10 23:59:00.000000,,10,created,,,1001,控制板计划订单,2026-01-27 12:15:49.157467,2026-03-23 08:07:53.397253
27,PLN20260004,planned,计划订单,MAT009,电源模块,60.0,2026-02-11 23:59:00.000000,,8,created,,,1001,电源模块计划订单,2026-01-27 12:15:49.247724,2026-03-23 08:07:53.397257
28,PLN20260029,planned,计划订单,MAT005,轴承座,310.0,2026-02-11 23:59:00.000000,,5,created,,,1001,轴承座计划订单,2026-01-27 12:15:49.292901,2026-03-23 08:07:53.397259
30,PLN20260032,planned,计划订单,MAT008,机箱,140.0,2026-02-13 23:59:00.000000,,5,created,,,1001,机箱计划订单,2026-01-27 12:15:49.382855,2026-03-23 08:07:53.397263
31,PLN20260016,planned,计划订单,MAT010,显示面板,120.0,2026-02-14 23:59:00.000000,,5,created,,,1001,显示面板计划订单,2026-01-27 12:15:49.416492,2026-03-23 08:07:53.397265
32,PLN20260019,planned,计划订单,MAT006,连接器,140.0,2026-02-14 23:59:00.000000,,10,created,,,1001,连接器计划订单,2026-01-27 12:15:49.460036,2026-03-23 08:07:53.397267
33,PLN20260012,planned,计划订单,MAT006,连接器,360.0,2026-02-16 23:59:00.000000,,9,created,,,1001,连接器计划订单,2026-01-27 12:15:49.496454,2026-03-23 08:07:53.397269
34,PLN20260021,planned,计划订单,MAT003,传感器模块,70.0,2026-02-16 23:59:00.000000,,6,created,,,1001,传感器模块计划订单,2026-01-27 12:15:49.542361,2026-03-23 08:07:53.397270
35,PLN20260022,planned,计划订单,MAT001,精密齿轮,350.0,2026-02-16 23:59:00.000000,,6,created,,,1001,精密齿轮计划订单,2026-01-27 12:15:49.589085,2026-03-23 08:07:53.397272
36,PLN20260020,planned,计划订单,MAT009,电源模块,270.0,2026-02-17 23:59:00.000000,,4,created,,,1001,电源模块计划订单,2026-01-27 12:15:49.627449,2026-03-23 08:07:53.397274
37,PLN20260002,planned,计划订单,MAT002,电机外壳,480.0,2026-02-18 23:59:00.000000,,7,created,,,1001,电机外壳计划订单,2026-01-27 12:15:49.675747,2026-03-23 08:07:53.397276
38,PLN20260034,planned,计划订单,MAT005,轴承座,350.0,2026-02-20 23:59:00.000000,,8,created,,,1001,轴承座计划订单,2026-01-27 12:15:49.717996,2026-03-23 08:07:53.397278
39,PLN20260035,planned,计划订单,MAT001,精密齿轮,320.0,2026-02-20 23:59:00.000000,,1,created,,,1001,精密齿轮计划订单,2026-01-27 12:15:49.762144,2026-03-23 08:07:53.397280
40,PLN20260003,planned,计划订单,MAT002,电机外壳,120.0,2026-02-21 23:59:00.000000,,2,created,,,1001,电机外壳计划订单,2026-01-27 12:15:49.806402,2026-03-23 08:07:53.397281
41,PLN20260007,planned,计划订单,MAT001,精密齿轮,260.0,2026-02-21 23:59:00.000000,,8,created,,,1001,精密齿轮计划订单,2026-01-27 12:15:49.865266,2026-03-23 08:07:53.397283
42,PLN20260026,planned,计划订单,MAT006,连接器,60.0,2026-02-23 23:59:00.000000,,6,created,,,1001,连接器计划订单,2026-01-27 12:15:49.913644,2026-03-23 08:07:53.397285
43,PLN20260028,planned,计划订单,MAT006,连接器,290.0,2026-02-23 23:59:00.000000,,1,created,,,1001,连接器计划订单,2026-01-27 12:15:49.958546,2026-03-23 08:07:53.397287
44,PLN20260031,planned,计划订单,MAT008,机箱,130.0,2026-02-23 23:59:00.000000,,5,created,,,1001,机箱计划订单,2026-01-27 12:15:50.007986,2026-03-23 08:07:53.397288
45,PLN20260005,planned,计划订单,MAT009,电源模块,100.0,2026-02-24 23:59:00.000000,,5,created,,,1001,电源模块计划订单,2026-01-27 12:15:50.068458,2026-03-23 08:07:53.397290
46,PLN20260014,planned,计划订单,MAT008,机箱,300.0,2026-02-24 23:59:00.000000,,4,created,,,1001,机箱计划订单,2026-01-27 12:15:50.113423,2026-03-23 08:07:53.397292
47,PLN20260027,planned,计划订单,MAT008,机箱,370.0,2026-02-25 23:59:00.000000,,10,created,,,1001,机箱计划订单,2026-01-27 12:15:50.165720,2026-03-23 08:07:53.397293
48,PLN20260011,planned,计划订单,MAT004,控制板,370.0,2026-02-26 23:59:00.000000,,4,created,,,1001,控制板计划订单,2026-01-27 12:15:50.210920,2026-03-23 08:07:53.397295
49,PLN20260015,planned,计划订单,MAT009,电源模块,460.0,2026-02-26 23:59:00.000000,,4,created,,,1001,电源模块计划订单,2026-01-27 12:15:50.255805,2026-03-23 08:07:53.397297
50,PLN20260024,planned,计划订单,MAT003,传感器模块,480.0,2026-02-26 23:59:00.000000,,4,created,,,1001,传感器模块计划订单,2026-01-27 12:15:50.303244,2026-03-23 08:07:53.397299
57,PLN11312465,planned,计划订单,MAT006,连接器,60.0,2026-03-02 23:59:00.000000,,2,scheduled,,,1001,,2026-02-10 08:15:45.682492,2026-03-23 08:07:53.397312
51,PLN2026030201,planned,计划订单,MAT006,连接器,20.0,2026-03-02 23:59:00.000000,2026-03-02 08:00:00.000000,4,scheduled,,,1001,,2026-02-09 07:47:26.310289,2026-03-23 08:07:53.397300
56,PLN03563405,planned,计划订单,MAT004,控制板,100.0,2026-03-03 23:59:00.000000,,3,scheduled,,,1001,,2026-02-10 06:07:01.819854,2026-03-23 08:07:53.397310
52,PLN2026030302,planned,计划订单,MAT006,连接器,20.0,2026-03-03 23:59:00.000000,2026-03-03 08:00:00.000000,3,scheduled,,,1001,,2026-02-09 07:47:26.315774,2026-03-23 08:07:53.397302
